名称,总价（万）,均价,成交日期,位置
春天花园 7室3厅 324.81平米,790,24322元,2015-12-31,青羊
华侨城东岸 5室2厅 399.8平米,790,19760元,2017-10-11,金牛
水映长岛 4室2厅 375平米,790,21067元,2015-10-10,青羊
优品道四期 5室2厅 408.96平米,789,19293元,2017-02-16,青羊
朗基望今缘 4室2厅 289平米,760,26298元,2017-09-19,锦江
麓山国际圣安德鲁 5室3厅 331.79平米,755,22756元,2017-08-02,天府新区
万科五龙山九墅 4室2厅 275.24平米,755,27445元,2017-12-22,新都
凯德风尚别墅 6室3厅 570.95平米,750,13136元,2016-06-07,青羊
翡翠城五期 5室3厅 246.98平米,740,29962元,2016-12-29,锦江
绿地锦天府 3室2厅 345平米,735,21305元,2017-09-26,锦江
春江阁 5室3厅 239平米,735,30754元,2017-07-16,青羊
绿地锦天府 6室2厅 320.58平米,730,22772元,2017-08-21,锦江
仁恒滨河湾 4室2厅 224.71平米,728,32398元,2018-02-02,锦江
仁恒滨河湾 4室2厅 224平米,723,32277元,2017-12-21,锦江
中海金沙府 5室2厅 314平米,720,22929元,2016-03-01,青羊
西派国际 4室1厅 193.17平米,720,37273元,2018-02-01,高新区
南苑小区 4室2厅 203.01平米,720,35466元,2016-10-24,高新区
南苑小区 4室1厅 203.01平米,717,35319元,2017-09-22,高新区
绿地锦天府 5室2厅 346.69平米,713,20561元,2017-09-25,锦江
绿地锦天府 3室2厅 345.58平米,713,20632元,2018-01-10,锦江
南苑小区 4室2厅 203平米,712,35074元,2017-12-11,高新区
南苑小区 4室2厅 202.29平米,708,35000元,2017-12-22,高新区
中海国际社区央墅 6室3厅 416平米,699,16803元,2015-10-31,高新西区
仁恒滨河湾 4室2厅 258平米,696,26977元,2017-09-19,锦江
融创长滩壹号 4室3厅 398.9平米,690,17298元,2018-01-09,双流
中海城南华府 5室2厅 253.56平米,690,27213元,2017-09-08,高新区
紫檀 3室1厅 280.67平米,690,24585元,2018-01-18,武侯
南苑小区 4室2厅 203.01平米,680,33496元,2017-05-28,高新区
中海九号公馆 4室1厅 189.68平米,680,35850元,2017-11-01,高新区
春江阁 4室2厅 239.38平米,666,27822元,2017-02-10,青羊
天合凯旋南城 5室2厅 375平米,666,17760元,2016-12-30,高新区
南苑小区 4室2厅 203.01平米,665,32758元,2017-10-20,高新区
中海名城三期 4室3厅 260平米,660,25385元,2015-06-29,高新区
南苑小区 4室2厅 203.01平米,655,32265元,2017-06-09,高新区
翡翠城三期 4室2厅 221平米,650,29411元,2016-03-01,锦江
浣花溪山庄 5室2厅 260平米,650,25000元,2017-10-25,青羊
华侨城纯水岸208区 4室3厅 347.45平米,649,18679元,2017-04-28,金牛
华侨城纯水岸208区 4室3厅 347.45平米,649,18679元,2017-04-28,金牛
中海名城 5室2厅 210.41平米,646,30702元,2017-12-31,高新区
天府欣苑 2室2厅 206.34平米,645,31260元,2018-02-04,高新区
西派国际 4室2厅 276.56平米,644,23279元,2016-10-30,高新区
仁和春天大道 4室2厅 291平米,640,21994元,2017-11-08,温江
万科五龙山 4室2厅 591平米,640,10829元,2015-08-22,新都
绿地锦天府 3室2厅 269.52平米,640,23742元,2017-10-22,锦江
鹭岛国际社区二期 5室3厅 295平米,640,21685元,2016-09-25,武侯
中海城南一号 5室2厅 350平米,640,18286元,2015-06-02,高新区
南苑小区 4室2厅 203.1平米,638,31414元,2017-04-05,高新区
翡翠城二期 4室2厅 177.02平米,635,35872元,2017-03-20,锦江
中海国际林汀别墅 5室3厅 266平米,635,23873元,2017-08-10,高新西区
融创长滩壹号 5室3厅 284.21平米,635,22343元,2017-12-05,双流
神仙树大院三期 7室2厅 443.45平米,630,14207元,2016-01-12,高新区
仁恒滨河湾 4室2厅 259.37平米,630,24290元,2017-05-16,锦江
神仙树大院三期 7室2厅 443平米,630,14221元,2016-01-01,高新区
中海九号公馆 4室2厅 190平米,628,33053元,2017-12-28,高新区
保利拉斐庄园 4室2厅 461.51平米,626,13564元,2016-06-25,新都
华侨城东岸 4室3厅 264.38平米,625,23641元,2017-06-19,金牛
督院府邸 6室3厅 193.1平米,625,32367元,2017-09-05,锦江
中华园 5室3厅 326.23平米,625,19159元,2017-10-11,武侯
中海城南华府 5室2厅 255平米,623,24431元,2017-02-27,高新区
中海城南一号 4室2厅 239.88平米,620,25846元,2016-10-04,高新区
紫檀 4室1厅 293.34平米,620,21136元,2017-12-16,武侯
麓山国际塞尔维蒙 4室2厅 186平米,615,33065元,2017-11-04,天府新区
中粮祥云国际生活区一期 5室2厅 437.23平米,610,13952元,2018-01-28,武侯
天府欣苑 4室2厅 189.59平米,610,32175元,2018-01-06,高新区
中海名城三期 6室2厅 258平米,610,23643元,2016-03-01,高新区
鹭岛国际社区二期 4室2厅 273.91平米,610,22271元,2017-12-28,武侯
绿地锦天府 4室2厅 310.22平米,610,19664元,2017-11-24,锦江
紫檀 4室2厅 280.67平米,606,21592元,2017-09-18,武侯
保利心语一期 5室2厅 337平米,600,17804元,2015-08-16,高新区
中海城南一号 4室2厅 248.48平米,600,24147元,2016-11-23,高新区
翡翠城三期 4室2厅 248平米,600,24194元,2015-10-23,锦江
南苑小区 3室2厅 182.84平米,600,32816元,2017-09-05,高新区
金林半岛 3室2厅 194.24平米,600,30890元,2016-11-24,青羊
中海城南一号 8室2厅 370.89平米,600,16177元,2015-11-07,高新区
麓山国际拉佩维尔 4室2厅 234.79平米,595,25342元,2018-02-08,天府新区
凯德风尚 5室2厅 574平米,591,10296元,2016-03-01,青羊
望江橡树林一期 6室4厅 332平米,590,17771元,2016-09-26,锦江
融创长滩壹号 4室3厅 384.83平米,590,15332元,2017-12-27,双流
仁恒滨河湾 4室2厅 227平米,590,25992元,2017-09-19,锦江
世茂玉锦湾 5室3厅 226.37平米,586,25887元,2017-07-20,成华
建发浅水湾 6室3厅 576.49平米,580,10061元,2015-09-25,天府新区
南苑小区 4室2厅 203.01平米,580,28570元,2017-01-23,高新区
中粮祥云国际生活区一期 5室3厅 451.94平米,580,12834元,2017-04-18,武侯
天府世家 3室2厅 230.31平米,580,25184元,2017-09-10,高新区
南苑小区 4室2厅 203.01平米,580,28570元,2016-08-14,高新区
浣花溪山庄 4室2厅 205.33平米,580,28247元,2016-12-15,青羊
翡翠城二期 5室2厅 197.11平米,580,29426元,2017-12-04,锦江
中海城南华府 4室2厅 220平米,576,26182元,2017-03-19,高新区
置信巴厘岛别墅 6室2厅 250.51平米,575,22953元,2016-08-12,武侯
中海龙湾半岛 4室3厅 256平米,571,22274元,2016-05-06,武侯
成都花园别墅 5室2厅 275平米,570,20728元,2017-09-26,青羊
雍锦湾花园别墅 4室2厅 226平米,570,25222元,2017-12-27,青羊
观城 5室2厅 195.09平米,570,29218元,2017-11-17,成华
南苑小区 4室2厅 182.84平米,569,31121元,2017-03-21,高新区
南苑小区 4室2厅 202.29平米,568,28079元,2017-02-12,高新区
中海城南一号 4室2厅 194.01平米,568,29277元,2016-10-06,高新区
绿地锦天府别墅 4室3厅 324平米,566,17469元,2015-10-09,锦江
中海城南一号 5室2厅 240平米,566,23583元,2016-12-18,高新区
绿地锦天府 3室1厅 183.56平米,566,30835元,2018-01-26,锦江
长城半岛城邦二期 5室2厅 275平米,565,20545元,2016-01-01,高新区
龙景花园 4室2厅 192平米,565,29427元,2016-07-25,青羊
誉峰 5室3厅 245.31平米,565,23032元,2015-09-02,高新区
观城 5室2厅 196平米,565,28827元,2017-10-11,成华
南苑小区 4室2厅 183平米,564,30820元,2017-09-26,高新区
仁恒滨河湾 5室2厅 313.46平米,562,17929元,2016-07-22,锦江
银都花园 4室2厅 229.45平米,560,24407元,2017-12-06,高新区
绿地锦天府 3室2厅 198.51平米,560,28211元,2018-01-10,锦江
翡翠城四期 4室2厅 188平米,560,29788元,2017-11-23,锦江
中信未来城 5室2厅 276.56平米,560,20249元,2018-01-29,郫都区
紫檀 3室2厅 280.67平米,560,19953元,2017-12-18,武侯
龙景花园 5室2厅 256.11平米,560,21866元,2016-10-20,青羊
南苑小区 4室2厅 182.85平米,558,30517元,2017-06-25,高新区
中海九号公馆 4室2厅 169.52平米,558,32917元,2018-01-06,高新区
中海金沙府 4室2厅 178平米,555,31180元,2018-01-05,青羊
春天花园 3室2厅 177.77平米,555,31221元,2017-11-22,青羊
南苑小区 4室2厅 203.01平米,553,27240元,2016-11-11,高新区
万科金域西岭 5室3厅 393.19平米,552,14039元,2015-11-20,金牛
成都花园别墅 7室2厅 272平米,551,20257元,2015-09-22,青羊
誉峰 4室2厅 241平米,550,22865元,2016-09-28,高新区
龙湖世纪峰景 4室2厅 380平米,550,14474元,2017-10-26,高新区
南苑小区 4室2厅 182.81平米,550,30086元,2017-09-27,高新区
天府欣苑 4室2厅 188.82平米,550,29129元,2017-06-13,高新区
世纪城天鹅湖 5室2厅 477.37平米,550,11522元,2017-07-16,高新区
仁和春天国际花园 4室2厅 176.99平米,548,30963元,2018-01-05,高新区
华润二十四城三期 4室2厅 189平米,547,28942元,2016-12-22,成华
紫檀 4室2厅 283.68平米,547,19283元,2017-10-16,武侯
南苑小区 4室2厅 203平米,545,26846元,2016-09-27,高新区
麓山国际香怡林 6室3厅 382.91平米,545,14233元,2016-09-22,双流
中海龙湾半岛 4室3厅 256.35平米,545,21260元,2016-07-06,武侯
中粮祥云国际生活区一期 5室2厅 428.17平米,545,12729元,2017-08-16,武侯
誉峰 5室2厅 246.69平米,545,22093元,2016-03-10,高新区
麓山国际香怡林 6室2厅 333.55平米,542,16246元,2016-06-24,双流
中粮祥云国际生活区一期 4室2厅 378.82平米,542,14308元,2017-12-02,武侯
保利康桥 4室2厅 197.51平米,540,27341元,2017-09-13,成华
龙湖三千城 5室1厅 229平米,540,23581元,2017-10-26,成华
时代豪庭 3室2厅 172.26平米,540,31348元,2017-11-09,锦江
神仙树大院三期 8室3厅 344平米,540,15698元,2017-09-16,高新区
紫檀 4室2厅 293.35平米,540,18409元,2017-10-19,武侯
天合凯旋南城 5室2厅 264.4平米,540,20424元,2015-12-01,高新区
南苑小区 3室2厅 182.85平米,539,29478元,2017-12-13,高新区
天府欣苑 4室2厅 189平米,538,28466元,2018-01-19,高新区
鹭岛国际社区二期 5室2厅 239.37平米,537,22430元,2016-08-23,武侯
锦官新城西区 5室2厅 295平米,536,18170元,2018-01-11,武侯
四海逸家三期 4室2厅 124平米,535,43146元,2018-02-04,锦江
时代尊邸 3室2厅 217.45平米,535,24604元,2017-06-12,锦江
万科西岭别墅 5室3厅 386.21平米,533,13801元,2015-07-08,金牛
绿地锦天府 3室2厅 270平米,530,19630元,2017-05-10,锦江
天府世家 4室2厅 177平米,530,29944元,2017-10-09,高新区
润富国际花园 3室2厅 144.7平米,530,36628元,2018-02-08,高新区
国信滨河雅居 5室2厅 270.96平米,530,19561元,2017-11-13,武侯
龙湖世纪峰景 4室1厅 380.18平米,530,13941元,2018-01-21,高新区
天府世家 4室2厅 159.47平米,530,33236元,2017-08-31,高新区
锦宏骏苑 4室3厅 231.43平米,530,22902元,2017-12-28,武侯
天彩菁华 9室1厅 568平米,530,9331元,2015-07-02,金牛
置信巴厘岛别墅 4室2厅 207.23平米,526,25383元,2017-10-21,武侯
时代豪庭 3室2厅 172.26平米,525,30478元,2017-04-27,锦江
时代尊邸 3室2厅 172.29平米,525,30472元,2017-10-23,锦江
誉峰 5室2厅 222.64平米,525,23581元,2016-11-10,高新区
保利蝴蝶谷 4室2厅 375平米,525,14000元,2017-03-10,新都
神仙树大院三期 5室1厅 225.19平米,525,23314元,2017-12-18,高新区
仁恒滨河湾 3室2厅 172.09平米,525,30508元,2017-09-21,锦江
中海龙湾半岛别墅 5室2厅 318平米,520,16352元,2015-06-16,武侯
万科五龙山 5室3厅 478.72平米,520,10863元,2017-07-05,新都
蓝光公馆1881 5室3厅 298平米,520,17443元,2015-08-24,高新区
和贵南山上 5室2厅 525平米,520,9905元,2017-10-21,天府新区
水映长岛 6室2厅 270.78平米,520,19204元,2016-10-18,青羊
翡翠城四期 5室2厅 267平米,520,19476元,2015-09-19,锦江
世纪城天鹅湖 4室2厅 245平米,518,21143元,2017-11-05,高新区
南苑小区 4室2厅 182.81平米,518,28335元,2017-01-16,高新区
仁恒滨河湾 4室2厅 139.39平米,518,37162元,2017-12-12,锦江
时代豪庭 3室2厅 173平米,515,29769元,2017-07-27,锦江
中海城南一号 4室2厅 194平米,515,26604元,2016-09-28,高新区
中海城南一号 7室2厅 239.88平米,515,21469元,2016-10-10,高新区
麓山国际圣芭芭拉 4室2厅 233.66平米,515,22041元,2018-02-06,天府新区
朗御 3室1厅 226.1平米,515,22778元,2017-12-29,锦江
中海金沙府 4室2厅 174.38平米,515,29534元,2017-12-25,青羊
仁恒滨河湾 5室2厅 313平米,515,16453元,2016-02-01,锦江
国信滨河雅居 4室3厅 249平米,515,20683元,2017-07-24,武侯
南苑小区 4室2厅 203.01平米,515,25368元,2016-10-03,高新区
誉峰 5室2厅 219.54平米,510,23230元,2016-11-27,高新区
天府世家 4室2厅 164平米,510,31098元,2017-03-25,高新区
保利康桥 3室2厅 182平米,510,28022元,2018-02-01,成华
紫檀 3室1厅 293.34平米,510,17386元,2017-05-18,武侯
中粮祥云国际生活区一期 4室2厅 255.2平米,510,19985元,2017-05-31,武侯
蓝光公馆1881 4室2厅 216平米,510,23612元,2017-10-10,高新区
南苑小区 4室2厅 183平米,510,27869元,2017-08-17,高新区
中海龙湾半岛 4室2厅 223.47平米,510,22822元,2017-11-06,武侯
金林半岛别墅 3室2厅 196.74平米,508,25821元,2016-05-06,青羊
南苑小区 4室2厅 182.85平米,508,27782元,2016-10-18,高新区
